Transporter,Address,Numbers,Contact Person
SOMAIYA TRANSPORT,"770/e- shahupuri 5th lane complex kolhapur , kolhapur","Contact No : , 2653913, 2611491,",Contact Person :
MAHARASHTRA FREIGHT CARRIER PVT.LTD.,"590- vyapari peth shahupuri kolhapuri , kolhapur","Contact No : 9860854569, 2660714,",Contact Person : NULL
GUNDESHA TRANSPORT CO.,"p.b. road near kmt petrol pump shiroli kolhapur , kolhapur","Contact No : 9822779020, 7095212121, 2461204, 04040265147,",Contact Person : NULL
IDBI FEDERAL LIFE INSURANCE CO. LTD.,"office no. 5b- no. 517/2- 1st floor- e ward� new shahapuri- kolhapur -416001 , kolhapur","Contact No : , 0231 , 6450118,",Contact Person : NULL
DELHI U.P. MADHYA PRADESH TRPRT.CO.(WEST.),"chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : 9371151508, 2811715,",Contact Person : NULL
MAX NEW YORK LIFE INSURANCE,"16- shop r.s. 571/2- 2nd floor-� rd vichare complex�shahpuri- kolhapur -416001 , kolhapur","Contact No : , 0231 , 6610725, 0231 , 6610726, 0231 , 6610727,",Contact Person : NULL
NEW SADANAND ROADWAYS,"660- e- shahupuri 3rd gali kolhapur , kolhapur","Contact No : 9850677151, 2657251,",Contact Person : NULL
RCI LOGISTICS PVT.LTD,"plot no.208- lst floor opp. datta mandir nagaon phata shiroli kolhapur , kolhapur","Contact No : 9372645415, 3297881, 9002040666",Contact Person : NULL
MAA SHARDU LOGISTICS,"plot no.294- opp. datta mandir nagaon siroli kolhapur , kolhapur","Contact No : , 2469609,",Contact Person : NULL
PACKWELL PACKERS AND MOVERS,"1062- shahupuri- b t college chowk- near hotel upkar , kolhapur","Contact No : 9225810489, ,",Contact Person : NULL
EXPRESS RELOCATION PACKERS & MOVERS,"plot no. 2104- opp. kolhapur steel- nagav phata- shiroli midc- , kolhapur","Contact No : 9000001142, ,",Contact Person : mr. manav chaudhary
CHARTED LOGISTICS LIMITED,"plot no.129 p.b. road kolhapur , kolhapur","Contact No : 9890103666, 2468933,",Contact Person : NULL
STAR HEALTH & ALLIED INSURANCE CO. LTD.,"no. 5- ist floor� new shahapuri- kolhapur -416004 , kolhapur","Contact No : 9823493969, 0231 , 6454080, 0231 , 6454082,",Contact Person : NULL
DEEPAK TRANSPORT AGENCY,"opp. kolhapur steel ltd. nagaon kolhapur , kolhapur","Contact No : 9370320853, 3207005, 8797794249",Contact Person : NULL
JAYRAJ TRANSPORT CO.,"s.p. markit gandhi nagar , kolhapur","Contact No : , ,",Contact Person : NULL
TIRMURTI CARGO MOVERS P.LTD.,"plot no.1413- nagaon road nagaon phata shiroli kolhapur , kolhapur","Contact No : , 2468159,",Contact Person : NULL
TAMILNADU MAHARASHTRA ROADWAYS,"no.292- p.b. road opp. sangali phata shiroli kolhapur , kolhapur","Contact No : 9766476000, 9371112723, ,",Contact Person :
BAKSHARAM ROADLINES,"opp. jhulelal market chinchwad road gandhi nagar kolhapur , kolhapur","Contact No : , ,",Contact Person : NULL
